Code;Name;PostalCode;Address;MOP
850296143;"""ООО ПРОДМИР""";127055;Г. МОСКВА;NKC
850296855;"""ЗАО Т И К ПРОДУКТЫ""";125040;Г. МОСКВА;NKC
850281424;АО ''ТОРГОВЫЙ ДОМ ''ПЕРЕКРЕСТО;214031;Г. СМОЛЕНСК;MAS
850278967;"АО ""ДИКСИ ЮГ""";141895;ДЕР. ДЕРЕВНЯ  ГЛАЗОВО;KIB
850036620;"АО ""ГАСТРОНОМИЧЕСКАЯ АКАДЕМИЯ";129337;Г. МОСКВА;NKC
850166754;"АО ""КОРПОРАЦИЯ ""ГРИНН""";214012;Г. СМОЛЕНСК;MAS
850033242;"АО ""МОСГОРСНАБПРОДТОРГ""";125171;Г. МОСКВА;NKC
850300611;"АО ""ПРОДТОРГ""";141533;ДЕР. ЛИТВИНОВО, Г. СОЛНЕЧН;KIB
850302661;"АО ""ПРОДТОРГ""";142403;Г. НОГИНСК;NKC
850304683;"АО ""ПРОДТОРГ""";142403;Г. НОГИНСК;KIB
850133756;"АО ""СПАР РИТЭЙЛ""";125464;Г. МОСКВА;NKP
850069478;"АО ""ТАНДЕР""";141506;Г. СОЛНЕЧНОГОРСК;NKC
850144752;"АО ""ТАНДЕР""";214031;Г. СМОЛЕНСК;MAS
850150686;"АО ""ТАНДЕР""";170043;Г. ТВЕРЬ;NKC
850169413;"АО ""ТАНДЕР""";171505;Г. КИМРЫ;NKC
850176285;"АО ""ТАНДЕР""";143400;Г. КРАСНОГОРСК;NKC
850177117;"АО ""ТАНДЕР""";129347;Г. МОСКВА;NKC
850179083;"АО ""ТАНДЕР""";171158;Г. ВЫШНИЙ ВОЛОЧЕК;NKC
850179594;"АО ""ТАНДЕР""";141981;Г. ДУБНА;NKC
850181629;"АО ""ТАНДЕР""";215111;Г. ВЯЗЬМА;MAS
850181762;"АО ""ТАНДЕР""";121087;Г. МОСКВА;NKC
850183444;"АО ""ТАНДЕР""";214550;ДЕР. ПОКОРНОЕ;OZO
850194634;"АО ""ТАНДЕР""";215010;Г. ГАГАРИН;MAS
850196545;"АО ""ТАНДЕР""";143090;Г. КРАСНОЗНАМЕНСК;NKC
850231669;"АО ""ТАНДЕР""";216507;Г. РОСЛАВЛЬ;MAS
850255317;"АО ""ТАНДЕР""";141800;Г. ДМИТРОВ;NKC
850261954;"АО ""ТАНДЕР""";172386;Г. РЖЕВ;NKC
850275655;"АО ""ТАНДЕР""";141080;Г. КОРОЛЕВ;NKC
850287032;"АО ""ТАНДЕР""";127543;Г. МОСКВА;NKC
850287098;"АО ""ТАНДЕР""";105264;Г. МОСКВА;NKC
850290104;"АО ""ТАНДЕР""";125008;Г. МОСКВА;NKC
850292161;"АО ""ТАНДЕР""";123154;Г. МОСКВА;NKC
850292222;"АО ""ТАНДЕР""";125362;Г. МОСКВА;NKC
850293276;"АО ""ТАНДЕР""";127486;Г. МОСКВА;NKC
850293944;"АО ""ТАНДЕР""";125167;Г. МОСКВА;NKC
850297560;"АО ""ТАНДЕР""";129075;Г. МОСКВА;NKC
850301781;"АО ""ТАНДЕР""";107564;Г. МОСКВА;NKC
850302468;"АО ""ТАНДЕР""";141407;Г. ХИМКИ;NKC
850266023;"АО ""ТД ""ПЕРЕКРЕСТОК""";125445;Г. МОСКВА;NKP
