MaterialCode;PCB;SPCB;PCPAL;Короб;Вес;Высота;Объем;ABC;Zone;Alley;Class;Plant;Shelflife
100323;12;0;4032;336;520;161;1353;C;N;11;A;CH;30
100324;12;0;4032;336;520;161;1353;C;N;11;B;CH;30
100463;12;0;780;65;835;127;1053;C;N;3;C;CH;30
100468;12;0;1344;112;295;103;772;C;N;7;C;CH;30
100470;12;0;1344;112;295;103;772;C;N;7;C;CH;30
100692;8;0;3072;384;460;166;1441;C;N;9;C;CH;30
100703;8;0;3456;432;518;163;1416;C;N;9;B;CH;30
100706;8;0;3456;432;518;163;1416;C;N;9;C;CH;30
100708;8;0;2688;336;520;151;1301;C;N;9;C;CH;30
100709;8;0;2688;336;520;151;1301;C;N;9;C;CH;30
100710;8;0;2688;336;520;151;1301;C;N;9;C;CH;30
100711;8;0;2688;336;520;151;1301;C;N;9;C;CH;30
100712;12;0;4032;336;520;161;1353;C;N;9;B;CH;30
100722;12;0;4032;336;520;161;1353;C;N;9;C;CH;30
101167;12;0;2496;208;553;121;951;C;N;5;C;CH;30
101184;8;0;1728;216;569;155;1297;C;N;11;A;CH;30
102381;30;0;8970;299;348;181;1513;C;N;11;C;CH;30
106980;8;0;1728;216;569;155;1297;C;N;11;C;CH;30
106991;8;0;1728;216;569;155;1297;C;N;11;B;CH;30
106992;8;0;4096;512;496;155;1315;C;N;11;B;CH;30
108175;8;0;2688;336;520;151;1301;C;N;9;C;CH;30
108704;14;0;1680;120;336;120;845;C;N;11;C;CH;30
108705;14;0;1680;120;336;120;845;C;N;11;B;CH;30
109247;12;0;3024;252;504;142;1181;C;N;9;C;CH;30
111550;8;0;3456;432;518;163;1416;C;N;9;C;CH;30
111821;8;0;3456;432;518;163;1416;C;N;9;C;CH;30
111822;8;0;3456;432;518;163;1416;C;N;9;B;CH;30
111886;6;0;1512;252;680;143;1189;C;N;7;C;CH;30
112727;6;0;3840;640;518;111;650;C;N;5;C;CH;30
112729;6;0;3840;640;518;111;650;C;N;5;C;CH;30
112730;6;0;3840;640;518;111;650;C;N;5;C;CH;30
112731;6;0;3840;640;518;111;650;C;N;5;C;CH;30
112732;6;0;3840;640;518;111;650;C;N;5;C;CH;30
113276;6;0;3840;640;518;111;650;C;N;5;C;CH;30
113277;6;0;3840;640;518;111;650;C;N;5;C;CH;30
113278;6;0;3840;640;518;111;650;C;N;5;C;CH;30
113279;6;0;3840;640;518;111;650;C;N;5;C;CH;30
113679;6;0;630;105;607;135;1039;C;N;3;A;CH;30
113736;6;0;630;105;624;133;1026;C;N;3;A;CH;30
115020;12;0;4032;336;520;161;1353;C;N;11;B;CH;30
115990;8;0;3456;432;518;163;1416;C;N;9;C;CH;30
116180;8;0;2048;256;294;127;1046;C;N;11;C;CH;30
118740;6;0;630;105;569;136;1088;C;N;3;A;CH;30
119901;20;0;900;45;427;105;630;C;N;7;C;CH;30
119945;12;0;960;80;376;129;998;C;N;7;C;CH;30
119946;12;0;960;80;376;129;998;C;N;7;C;CH;30
121032;12;0;2496;208;553;121;951;C;N;5;C;CH;30
122165;9;0;2016;224;297;138;1138;C;N;9;B;CH;30
122169;9;0;2016;224;291;138;1138;C;N;9;B;CH;30
122238;30;0;8970;299;330;181;1513;C;N;11;C;CH;30
122309;6;0;1764;294;602;120;939;C;N;7;C;CH;30
122310;6;0;1764;294;602;120;939;C;N;7;B;CH;30
122311;6;0;630;105;607;133;1036;C;N;3;A;CH;30
122312;6;0;630;105;607;133;1036;C;N;3;B;CH;30
122503;6;0;630;105;607;135;1092;C;N;3;B;CH;30
122520;12;0;864;72;879;120;982;C;N;3;C;CH;30
123133;12;0;3240;270;275;124;1038;C;N;11;C;CH;30
123134;12;0;3240;270;275;124;1038;C;N;11;C;CH;30
124493;8;0;3072;384;460;166;1441;C;N;9;C;CH;30
124505;8;0;3072;384;460;166;1441;C;N;9;C;CH;30
125035;12;0;2880;240;352;159;1359;C;N;11;B;CH;30
125145;18;0;3312;184;756;113;862;C;N;5;C;CH;30
125146;18;0;3312;184;756;113;862;C;N;5;C;CH;30
125147;18;0;3312;184;756;113;862;C;N;5;C;CH;30
128850;12;0;1824;152;400;138;1082;C;N;7;C;CH;30
129820;12;0;864;72;923;118;971;C;N;3;C;CH;30
130282;12;0;1440;120;410;180;1584;C;N;7;A;CH;30
130327;8;0;3072;384;460;166;1441;C;N;9;C;CH;30
130328;8;0;3072;384;460;166;1441;C;N;9;C;CH;30
130872;8;0;3200;400;620;157;1331;C;N;9;C;CH;30
130874;8;0;3200;400;620;157;1331;C;N;9;C;CH;30
133153;12;0;4032;336;520;161;1353;C;N;9;C;CH;30
133354;8;0;3456;432;518;163;1416;C;N;9;C;CH;30
133355;6;0;1764;294;602;120;939;C;N;7;C;CH;30
133401;18;0;3672;204;838;121;980;C;N;5;C;CH;30
134641;9;0;2205;245;701;148;1267;C;N;7;C;CH;30
134644;9;0;2205;245;701;148;1267;C;N;7;C;CH;30
134646;9;0;2205;245;701;148;1267;C;N;7;C;CH;30
134651;9;0;2205;245;701;148;1267;C;N;7;C;CH;30
134711;9;0;2205;245;701;148;1267;C;N;7;C;CH;30
134857;6;0;3840;640;432;137;1116;C;N;11;B;CH;30
134901;6;0;3840;640;432;137;1116;C;N;11;B;CH;30
134908;6;0;3840;640;432;137;1116;C;N;11;B;CH;30
134910;6;0;3840;640;432;137;1116;C;N;11;C;CH;30
134924;6;0;3840;640;432;137;1116;C;N;11;C;CH;30
134925;6;0;3840;640;432;137;1116;C;N;11;C;CH;30
135528;9;0;2205;245;701;148;1267;C;N;7;C;CH;30
135530;9;0;2205;245;701;148;1267;C;N;7;C;CH;30
135531;9;0;2205;245;701;148;1267;C;N;7;C;CH;30
135532;9;0;2205;245;701;148;1267;C;N;7;C;CH;30
135533;9;0;2205;245;701;148;1267;C;N;7;C;CH;30
135679;12;0;5760;480;768;131;1059;C;N;5;C;CH;30
135680;12;0;5760;480;768;131;1059;C;N;5;C;CH;30
135946;12;0;780;65;833;119;936;C;N;3;C;CH;30
135947;12;0;780;65;828;119;936;C;N;3;C;CH;30
135948;8;0;760;95;816;119;924;C;N;3;C;CH;30
135958;8;0;760;95;803;119;924;C;N;3;C;CH;30
137108;6;0;4104;684;752;137;987;C;N;11;C;CH;30
137182;6;0;3840;640;518;111;650;C;N;5;C;CH;30
137183;6;0;3840;640;518;111;650;C;N;5;C;CH;30
138323;8;0;760;95;828;119;924;C;N;3;C;CH;30
138602;24;0;6144;256;685;183;1585;C;N;7;C;CH;30
139678;12;0;780;65;828;119;936;C;N;3;C;CH;30
140003;12;0;2496;208;553;121;951;C;N;5;C;CH;30
140004;12;0;2496;208;553;121;951;C;N;5;C;CH;30
140007;12;0;2496;208;553;121;951;C;N;5;C;CH;30
140022;12;0;2880;240;352;159;1359;C;N;11;B;CH;30
141847;8;0;760;95;825;119;924;C;N;3;C;CH;30
143093;12;0;576;48;597;99;735;C;N;3;B;CH;30
143240;8;0;960;120;256;114;873;C;N;7;C;CH;30
143431;8;0;960;120;256;114;873;C;N;5;C;CH;30
144084;8;0;3072;384;460;166;1441;C;N;9;C;CH;30
144086;8;0;3072;384;460;166;1441;C;N;9;C;CH;30
144310;12;0;3024;252;504;142;1181;C;N;9;C;CH;30
144899;6;0;864;144;364;89;651;C;N;7;C;CH;30
145352;8;0;760;95;794;119;924;C;N;3;C;CH;30
145675;6;0;630;105;607;133;1036;C;N;3;C;CH;30
146194;12;0;3240;270;275;124;1038;C;N;11;C;CH;30
146304;12;0;4032;336;520;161;1353;C;N;11;B;CH;30
146517;9;0;2205;245;701;148;1267;C;N;7;C;CH;30
147768;8;0;760;95;814;119;924;C;N;3;C;CH;30
151712;6;0;630;105;590;135;1039;C;N;3;A;CH;30
151823;8;0;760;95;820;119;924;C;N;3;C;CH;30
151826;24;0;2592;108;711;133;964;C;N;5;C;CH;30
151829;24;0;2592;108;716;133;964;C;N;5;C;CH;30
151831;15;0;2700;180;731;133;1027;C;N;5;C;CH;30
151836;15;0;2100;140;566;107;798;C;N;5;C;CH;30
151837;12;0;780;65;825;119;936;C;N;3;C;CH;30
151852;8;0;760;95;807;119;924;C;N;3;C;CH;30
151853;15;0;2100;140;562;107;798;C;N;5;C;CH;30
151855;12;0;780;65;830;119;936;C;N;3;C;CH;30
151873;8;0;760;95;822;119;924;C;N;3;C;CH;30
151876;8;0;760;95;809;119;924;C;N;3;C;CH;30
151880;8;0;760;95;1217;119;1369;C;N;3;C;CH;30
151882;8;0;760;95;828;119;924;C;N;3;C;CH;30
151885;12;0;780;65;850;119;936;C;N;3;C;CH;30
151887;8;0;760;95;801;119;924;C;N;3;C;CH;30
151945;24;0;6144;256;685;183;1585;C;N;7;C;CH;30
151948;12;0;2304;192;384;139;1170;C;N;9;C;CH;30
151949;12;0;2304;192;384;139;1170;C;N;9;C;CH;30
151951;12;0;2304;192;384;139;1170;C;N;9;C;CH;30
152339;8;0;3200;400;620;157;1331;C;N;9;C;CH;30
153287;6;0;3120;520;726;115;903;C;N;5;B;CH;30
153288;6;0;3120;520;708;115;903;C;N;5;C;CH;30
153290;6;0;3120;520;714;115;903;C;N;5;A;CH;30
153291;6;0;3120;520;726;115;903;C;N;5;C;CH;30
153292;6;0;3120;520;726;115;903;C;N;5;B;CH;30
153294;6;0;3120;520;708;115;903;C;N;5;A;CH;30
153296;6;0;3120;520;708;115;903;C;N;5;C;CH;30
153298;6;0;3120;520;708;115;903;C;N;5;C;CH;30
153332;12;0;2304;192;384;139;1170;C;N;9;C;CH;30
153339;8;0;3200;400;620;157;1331;C;N;9;C;CH;30
153343;12;0;2880;240;352;159;1359;C;N;11;C;CH;30
153455;8;0;3200;400;620;157;1331;C;N;9;C;CH;30
153487;8;0;760;95;803;119;924;C;N;3;C;CH;30
153705;8;0;3456;432;518;163;1416;C;N;9;C;CH;30
153706;10;0;2000;200;389;143;1101;C;N;7;C;CH;30
153707;10;0;2000;200;389;143;1101;C;N;7;C;CH;30
153810;30;0;8970;299;330;181;1513;C;N;11;C;CH;30
154047;12;0;4224;352;425;191;1520;C;N;11;C;CH;30
154049;12;0;4224;352;425;191;1520;C;N;11;C;CH;30
154053;12;0;4224;352;425;191;1520;C;N;11;C;CH;30
154207;8;0;2688;336;520;151;1301;C;N;9;C;CH;30
154208;8;0;2688;336;520;151;1301;C;N;9;C;CH;30
154209;8;0;2688;336;520;151;1301;C;N;9;C;CH;30
156080;12;0;1152;96;328;147;1267;C;N;7;C;CH;30
156081;12;0;1152;96;328;147;1267;C;N;7;C;CH;30
156082;12;0;1152;96;328;147;1267;C;N;7;C;CH;30
156584;12;0;3240;270;275;124;1038;C;N;11;C;CH;30
