Delivery;Plant;Deliv. date(From/to);Delivery Type;Reference Document;Reference Item;Item;Material;Actual delivery qty;Base Unit of Measure;Batch
5900000055;5312;26.07.2023;ZNL;4900000055;10;90001;163404;55296;PC;CH20230825
5900000055;5312;26.07.2023;ZNL;4900000055;20;90002;51385;71760;PC;CH20230825
5900000055;5312;26.07.2023;ZNL;4900000055;30;90003;137182;34560;PC;CH20230825
5900000055;5312;26.07.2023;ZNL;4900000055;40;90004;191783;55296;PC;CH20230825
5900000055;5312;26.07.2023;ZNL;4900000055;50;90005;164097;12288;PC;CH20230825
5900000055;5312;26.07.2023;ZNL;4900000055;60;90006;164097;12288;PC;CH20230825
5900000055;5312;26.07.2023;ZNL;4900000055;70;90007;187936;4410;PC;CH20230825
5900000055;5312;26.07.2023;ZNL;4900000055;80;90008;187936;4410;PC;CH20230825
5900000055;5312;26.07.2023;ZNL;4900000055;90;90009;176297;31680;PC;CH20230825
5900000055;5312;26.07.2023;ZNL;4900000055;100;90010;176297;31680;PC;CH20230825
5900000055;5312;26.07.2023;ZNL;4900000055;110;90011;89851;22464;PC;CH20230825
5900000055;5312;26.07.2023;ZNL;4900000055;120;90012;156584;9720;PC;CH20230825
5900000055;5312;26.07.2023;ZNL;4900000055;130;90013;156584;3240;PC;CH20230825
5900000055;5312;26.07.2023;ZNL;4900000055;140;90014;173090;17280;PC;CH20230825
5900000055;5312;26.07.2023;ZNL;4900000055;150;90015;173090;17280;PC;CH20230825
