Delivery;Delivery Priority;Deliv. date(From/to);Delivery Type;Reference Document;Ship-To Party;Name of the ship-to party;Location of the ship-to party;Postal Code;Item;Material;Actual delivery qty;Base Unit of Measure;Batch;Plant;Storage Location
5999011158;1;22.09.2023;ZLF;4900011158;850247884;ООО "АГРОТОРГ";Г. ПУШКИНО;141207;900001;187381;37;PC;XY20231027;5317;1
5999011158;1;22.09.2023;ZLF;4900011158;850247884;ООО "АГРОТОРГ";Г. ПУШКИНО;141207;900002;187381;37;PC;XY20231027;5317;1
5999011158;1;22.09.2023;ZLF;4900011158;850247884;ООО "АГРОТОРГ";Г. ПУШКИНО;141207;900003;112731;29;PC;XY20250921;5317;1
5999011158;1;22.09.2023;ZLF;4900011158;850247884;ООО "АГРОТОРГ";Г. ПУШКИНО;141207;900004;112731;29;PC;XY20250921;5317;1
5999011158;1;22.09.2023;ZLF;4900011158;850247884;ООО "АГРОТОРГ";Г. ПУШКИНО;141207;900005;151855;47;PC;XY20240726;5317;1
5999011159;1;22.09.2023;ZLF;4900011159;850245868;ПАО "ДЕТСКИЙ МИР";ДЕР. НОВЫЕ ПСАРЬКИ;142434;900001;158951;15;PC;XY20231027;5317;1
5999011159;1;22.09.2023;ZLF;4900011159;850245868;ПАО "ДЕТСКИЙ МИР";ДЕР. НОВЫЕ ПСАРЬКИ;142434;900002;158951;15;PC;XY20231027;5317;1
5999011159;1;22.09.2023;ZLF;4900011159;850245868;ПАО "ДЕТСКИЙ МИР";ДЕР. НОВЫЕ ПСАРЬКИ;142434;900003;169561;25;PC;XY20231027;5317;1
5999011159;1;22.09.2023;ZLF;4900011159;850245868;ПАО "ДЕТСКИЙ МИР";ДЕР. НОВЫЕ ПСАРЬКИ;142434;900004;176840;25;PC;XY20231022;5317;1
5999011159;1;22.09.2023;ZLF;4900011159;850245868;ПАО "ДЕТСКИЙ МИР";ДЕР. НОВЫЕ ПСАРЬКИ;142434;900005;176840;25;PC;XY20231022;5317;1
5999011159;1;22.09.2023;ZLF;4900011159;850245868;ПАО "ДЕТСКИЙ МИР";ДЕР. НОВЫЕ ПСАРЬКИ;142434;900006;187381;43;PC;XY20231027;5317;1
5999011159;1;22.09.2023;ZLF;4900011159;850245868;ПАО "ДЕТСКИЙ МИР";ДЕР. НОВЫЕ ПСАРЬКИ;142434;900007;187381;43;PC;XY20231027;5317;1
5999011159;1;22.09.2023;ZLF;4900011159;850245868;ПАО "ДЕТСКИЙ МИР";ДЕР. НОВЫЕ ПСАРЬКИ;142434;900008;112731;35;PC;XY20250921;5317;1
5999011159;1;22.09.2023;ZLF;4900011159;850245868;ПАО "ДЕТСКИЙ МИР";ДЕР. НОВЫЕ ПСАРЬКИ;142434;900009;112731;35;PC;XY20250921;5317;1
5999011160;1;22.09.2023;ZLF;4900011160;850125307;АО "ТОРГОВЫЙ ДОМ "ПЕРЕКРЕСТОК";Г. МОСКВА;105064;900001;169561;3;PC;XY20231027;5317;1
5999011160;1;22.09.2023;ZLF;4900011160;850125307;АО "ТОРГОВЫЙ ДОМ "ПЕРЕКРЕСТОК";Г. МОСКВА;105064;900002;169561;3;PC;XY20231027;5317;1
5999011161;1;22.09.2023;ZLF;4900011161;850296195;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;Г. ЩЕЛКОВО;141102;900001;187381;13;PC;XY20231027;5317;1
5999011161;1;22.09.2023;ZLF;4900011161;850296195;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;Г. ЩЕЛКОВО;141102;900002;158951;13;PC;XY20231027;5317;1
5999011161;1;22.09.2023;ZLF;4900011161;850296195;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;Г. ЩЕЛКОВО;141102;900003;158951;13;PC;XY20231027;5317;1
5999011161;1;22.09.2023;ZLF;4900011161;850296195;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;Г. ЩЕЛКОВО;141102;900004;112731;30;PC;XY20250921;5317;1
5999011161;1;22.09.2023;ZLF;4900011161;850296195;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;Г. ЩЕЛКОВО;141102;900005;176840;22;PC;XY20231022;5317;1
5999011161;1;22.09.2023;ZLF;4900011161;850296195;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;Г. ЩЕЛКОВО;141102;900006;176840;22;PC;XY20231022;5317;1
5999011161;1;22.09.2023;ZLF;4900011161;850296195;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;Г. ЩЕЛКОВО;141102;900007;187381;40;PC;XY20231027;5317;1
5999011161;1;22.09.2023;ZLF;4900011161;850296195;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;Г. ЩЕЛКОВО;141102;900008;187381;40;PC;XY20231027;5317;1
5999011161;1;22.09.2023;ZLF;4900011161;850296195;ООО "СОЮЗ СВЯТОГО ИОАННА ВОИНА;Г. ЩЕЛКОВО;141102;900009;187381;8;PC;XY20231027;5317;1
5999011162;1;22.09.2023;ZLF;4900011162;850059419;ООО "АГРОАСПЕКТ";Г. МОСКВА;107589;900001;169561;49;PC;XY20231027;5317;1
5999011162;1;22.09.2023;ZLF;4900011162;850059419;ООО "АГРОАСПЕКТ";Г. МОСКВА;107589;900002;151855;49;PC;XY20240726;5317;1
5999011162;1;22.09.2023;ZLF;4900011162;850059419;ООО "АГРОАСПЕКТ";Г. МОСКВА;107589;900003;151855;18;PC;XY20240726;5317;1
5999011163;1;22.09.2023;ZLF;4900011163;850098790;ООО "АГРОАСПЕКТ";Г. ЭЛЕКТРОГОРСК;142530;900001;158951;10;PC;XY20231027;5317;1
5999011163;1;22.09.2023;ZLF;4900011163;850098790;ООО "АГРОАСПЕКТ";Г. ЭЛЕКТРОГОРСК;142530;900002;158951;28;PC;XY20231027;5317;1
5999011163;1;22.09.2023;ZLF;4900011163;850098790;ООО "АГРОАСПЕКТ";Г. ЭЛЕКТРОГОРСК;142530;900003;112731;45;PC;XY20250921;5317;1
5999011163;1;22.09.2023;ZLF;4900011163;850098790;ООО "АГРОАСПЕКТ";Г. ЭЛЕКТРОГОРСК;142530;900004;151855;45;PC;XY20240726;5317;1
5999011164;1;22.09.2023;ZLF;4900011164;850292750;ООО "ЛЕНТА";Г. МОСКВА;105037;900001;187381;37;PC;XY20231027;5317;1
5999011164;1;22.09.2023;ZLF;4900011164;850292750;ООО "ЛЕНТА";Г. МОСКВА;105037;900002;169561;6;PC;XY20231027;5317;1
5999011164;1;22.09.2023;ZLF;4900011164;850292750;ООО "ЛЕНТА";Г. МОСКВА;105037;900003;169561;23;PC;XY20231027;5317;1
5999011164;1;22.09.2023;ZLF;4900011164;850292750;ООО "ЛЕНТА";Г. МОСКВА;105037;900004;176840;23;PC;XY20231022;5317;1
5999011164;1;22.09.2023;ZLF;4900011164;850292750;ООО "ЛЕНТА";Г. МОСКВА;105037;900005;176840;15;PC;XY20231022;5317;1
5999011164;1;22.09.2023;ZLF;4900011164;850292750;ООО "ЛЕНТА";Г. МОСКВА;105037;900006;158951;15;PC;XY20231027;5317;1
5999011164;1;22.09.2023;ZLF;4900011164;850292750;ООО "ЛЕНТА";Г. МОСКВА;105037;900007;158951;33;PC;XY20231027;5317;1
5999011165;1;22.09.2023;ZLF;4900011165;850156673;ООО "БИЛЛА";Г. КРАСНОГОРСК;143405;900001;176840;25;PC;XY20231022;5317;1
5999011165;1;22.09.2023;ZLF;4900011165;850156673;ООО "БИЛЛА";Г. КРАСНОГОРСК;143405;900002;176840;42;PC;XY20231022;5317;1
5999011165;1;22.09.2023;ZLF;4900011165;850156673;ООО "БИЛЛА";Г. КРАСНОГОРСК;143405;900003;187381;42;PC;XY20231027;5317;1
5999011165;1;22.09.2023;ZLF;4900011165;850156673;ООО "БИЛЛА";Г. КРАСНОГОРСК;143405;900004;187381;11;PC;XY20231027;5317;1
5999011165;1;22.09.2023;ZLF;4900011165;850156673;ООО "БИЛЛА";Г. КРАСНОГОРСК;143405;900005;158951;11;PC;XY20231027;5317;1
5999011165;1;22.09.2023;ZLF;4900011165;850156673;ООО "БИЛЛА";Г. КРАСНОГОРСК;143405;900006;158951;11;PC;XY20231027;5317;1
5999011165;1;22.09.2023;ZLF;4900011165;850156673;ООО "БИЛЛА";Г. КРАСНОГОРСК;143405;900007;169561;3;PC;XY20231027;5317;1
5999011166;1;22.09.2023;ZLF;4900011166;850249589;ООО "АГРОТОРГ";ДЕР. РУМЯНЦЕВО;141054;900001;176840;21;PC;XY20231022;5317;1
5999011166;1;22.09.2023;ZLF;4900011166;850249589;ООО "АГРОТОРГ";ДЕР. РУМЯНЦЕВО;141054;900002;176840;21;PC;XY20231022;5317;1
5999011167;1;22.09.2023;ZLF;4900011167;850294666;ООО "ЛЕНТА" ТТ-1410;Г. ПУШКИНО;141207;900001;187381;38;PC;XY20231027;5317;1
5999011167;1;22.09.2023;ZLF;4900011167;850294666;ООО "ЛЕНТА" ТТ-1410;Г. ПУШКИНО;141207;900002;187381;30;PC;XY20231027;5317;1
5999011167;1;22.09.2023;ZLF;4900011167;850294666;ООО "ЛЕНТА" ТТ-1410;Г. ПУШКИНО;141207;900003;112731;30;PC;XY20250921;5317;1
5999011167;1;22.09.2023;ZLF;4900011167;850294666;ООО "ЛЕНТА" ТТ-1410;Г. ПУШКИНО;141207;900004;112731;30;PC;XY20250921;5317;1
5999011167;1;22.09.2023;ZLF;4900011167;850294666;ООО "ЛЕНТА" ТТ-1410;Г. ПУШКИНО;141207;900005;151855;48;PC;XY20240726;5317;1
5999011167;1;22.09.2023;ZLF;4900011167;850294666;ООО "ЛЕНТА" ТТ-1410;Г. ПУШКИНО;141207;900006;151855;40;PC;XY20240726;5317;1
5999011167;1;22.09.2023;ZLF;4900011167;850294666;ООО "ЛЕНТА" ТТ-1410;Г. ПУШКИНО;141207;900007;187381;40;PC;XY20231027;5317;1
5999011167;1;22.09.2023;ZLF;4900011167;850294666;ООО "ЛЕНТА" ТТ-1410;Г. ПУШКИНО;141207;900008;187381;8;PC;XY20231027;5317;1
5999011168;1;22.09.2023;ZLF;4900011168;850059326;ООО "АГРОАСПЕКТ";Г. МОСКВА;121351;900001;169561;26;PC;XY20231027;5317;1
5999011168;1;22.09.2023;ZLF;4900011168;850059326;ООО "АГРОАСПЕКТ";Г. МОСКВА;121351;900002;176840;26;PC;XY20231022;5317;1
5999011168;1;22.09.2023;ZLF;4900011168;850059326;ООО "АГРОАСПЕКТ";Г. МОСКВА;121351;900003;176840;26;PC;XY20231022;5317;1
5999011169;1;22.09.2023;ZLF;4900011169;850242059;ООО "АГРОТОРГ";Г. КОРОЛЕВ;141090;900001;158951;18;PC;XY20231027;5317;1
5999011169;1;22.09.2023;ZLF;4900011169;850242059;ООО "АГРОТОРГ";Г. КОРОЛЕВ;141090;900002;158951;35;PC;XY20231027;5317;1
5999011169;1;22.09.2023;ZLF;4900011169;850242059;ООО "АГРОТОРГ";Г. КОРОЛЕВ;141090;900003;112731;35;PC;XY20250921;5317;1
5999011169;1;22.09.2023;ZLF;4900011169;850242059;ООО "АГРОТОРГ";Г. КОРОЛЕВ;141090;900004;112731;35;PC;XY20250921;5317;1
