Delivery;Plant;Deliv. date(From/to);Delivery Type;Reference Document;Reference Item;Item;Material;Actual delivery qty;Base Unit of Measure;Batch
5900000035;5312;06.06.2023;ZNL;4900000035;10;90001;159219;4410;PC;CH20230706
5900000035;5312;06.06.2023;ZNL;4900000035;20;90002;173090;31104;PC;CH20230706
5900000035;5312;06.06.2023;ZNL;4900000035;30;90003;158948;16170;PC;CH20230706
5900000035;5312;06.06.2023;ZNL;4900000035;40;90004;187305;17640;PC;CH20230706
5900000035;5312;06.06.2023;ZNL;4900000035;50;90005;133153;4032;PC;CH20230706
5900000035;5312;06.06.2023;ZNL;4900000035;60;90006;166104;11550;PC;CH20230706
5900000035;5312;06.06.2023;ZNL;4900000035;70;90007;153487;1520;PC;CH20230706
5900000035;5312;06.06.2023;ZNL;4900000035;80;90008;135531;13230;PC;CH20230706
5900000035;5312;06.06.2023;ZNL;4900000035;90;90009;101167;2496;PC;CH20230706
5900000035;5312;06.06.2023;ZNL;4900000035;100;90010;161915;30720;PC;CH20230706
